path,label,source,speaker_id,sarcasm_label,audio_emotion_label,visual_emotion_label,utterance
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\1_1470.mp4,-1,mustard,must_penny,0,,,I don't know. It just died. I'm getting a bunch of static.
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_99.mp4,-1,mustard,must_rachel,0,,,"All right, cut, let's pick again, pick again."
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\1_8749.mp4,-1,mustard,must_amy,1,,,It was very entertaining... despite the glaring story problem.
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_48.mp4,-1,mustard,must_joey,0,,,"Thanks, but I kinda have a problem to deal with here."
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_464.mp4,-1,mustard,must_chandler,1,,,"Oh, uh, no thanks. I just had an M&M."
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\1_3348.mp4,-1,mustard,must_bernadette,0,,,"Raj, you should've seen Leonard's experiment. The interference pattern was so cool when the electron beam was on."
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_627.mp4,-1,mustard,must_person,0,,,"Whoa, whoa, whoa."
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\1_7938.mp4,-1,mustard,must_leonard,0,,,"Come on, let's just start walking. There's got to be a gas station or something nearby."
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_437.mp4,-1,mustard,must_chandler,0,,,"Oh yeah. First off all, chasing the Churo guy isn't jogging."
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_113.mp4,-1,mustard,must_chandler,1,,,"No, no the actual cartoon character .. Of course the baloon."
D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_380.mp4,-1,mustard,must_chandler,0,,,Oh just like give a minute to wake up for this  ...  Ha ha! You lost the ring. You the worst best man ever!
